TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.022322004,0.000363443,0.022685447,391.5962057
2,0.02111087,0.000351858,0.021462728,370.349212
3,0.022879449,0.000295597,0.023175046,401.3754911
4,0.027141389,0.000276392,0.02741778,476.1429444
5,0.033265325,0.000318066,0.033583391,583.5755153
6,0.040672428,0.00044049,0.041112918,713.5187569
7,0.048527284,0.000903444,0.049430728,851.3169414
8,0.056526661,0.001754612,0.058281273,991.6504728
9,0.066023522,0.001984518,0.06800804,1158.254449
10,0.079880025,0.001332755,0.08121278,1401.339889
11,0.097688593,0.000678113,0.098366705,1713.756619
12,0.113470046,-0.000193151,0.113276896,1990.611568
13,0.121721437,-0.000980586,0.120740851,2135.366196
14,0.12357411,0.000195956,0.123770066,2167.867747
15,0.123982931,0.001804694,0.125787625,2175.039715
16,0.123761499,0.001076943,0.124838442,2171.155115
17,0.123772981,0.000376514,0.124149496,2171.35655
18,0.122754913,0.001339355,0.124094267,2153.496511
19,0.116809274,0.00051698,0.117326254,2049.191828
20,0.109114087,0.000941953,0.11005604,1914.194716
21,0.099400377,0.000722766,0.100123142,1743.78654
22,0.086525842,-0.000232812,0.08629303,1517.927833
23,0.073635879,0.001183911,0.07481979,1291.798468
24,0.06325628,0.000296721,0.063553002,1109.708574
25,0.057055349,-0.001964708,0.055090641,1000.925284
26,0.056126699,-0.001434341,0.054692358,984.6339122
27,0.059960338,-0.000203236,0.059757102,1051.887664
28,0.068272153,-0.001191261,0.067080892,1197.702324
29,0.080893614,0.00058725,0.081480865,1419.12134
30,0.098988221,0.001846876,0.100835097,1736.556074
31,0.12085457,0.00327564,0.12413021,2120.158686
32,0.142343061,-0.000271378,0.142071683,2497.13253
33,0.165123712,-0.002012734,0.163110978,2896.774806
34,0.188085517,-0.001370507,0.18671501,3299.595077
35,0.2096136,-0.00025421,0.20935939,3677.263465
36,0.226632562,0.001203697,0.227836258,3975.828099
37,0.234928643,0.002290868,0.237219511,4121.366727
38,0.236196804,0.000956683,0.237153487,4143.614161
39,0.220561871,-0.00072987,0.219832002,3869.329631
40,0.196695119,-0.002458395,0.194236723,3450.633808
41,0.172506718,-0.00177248,0.170734238,3026.295302
42,0.154010937,-0.001239321,0.152771615,2701.822742
43,0.145261574,0.001073912,0.146335485,2548.332167
44,0.142037459,0.000907485,0.142944944,2491.771332
45,0.140484812,0.001182509,0.141667321,2464.533154
46,0.135540037,0.001709234,0.137249271,2377.786689
47,0.119746216,0.002421422,0.122167638,2100.714768
48,0.102892062,0.001923653,0.104815714,1805.041377
49,0.099724067,0.000492971,0.100217038,1749.465062
50,0.110743812,0.000141642,0.110885454,1942.785081
51,0.124069734,-0.00100201,0.123067723,2176.562493
52,0.133036992,0.000291049,0.133328041,2333.87562
53,0.142189015,-0.001336642,0.140852373,2494.430092
54,0.152757852,-0.000595943,0.152161909,2679.839799
55,0.16176211,-0.000678167,0.161083943,2837.802022
56,0.163891033,-0.00182074,0.162070292,2875.149836
57,0.164425795,-0.001356681,0.163069114,2884.531207
58,0.180137771,0.000268431,0.180406202,3160.167312
59,0.19841803,1.85268E-05,0.198436557,3480.858946
60,0.197020998,0.00251691,0.199537908,3456.350734
61,0.187824841,-0.001063922,0.18676092,3295.022021
62,0.189688591,0.002838896,0.192527487,3327.717888
63,0.201440924,-0.001214672,0.200226253,3533.889754
64,0.20971191,0.001141964,0.210853874,3678.988134
65,0.198765897,0.001399363,0.20016526,3486.961586
66,0.178479167,6.10851E-05,0.178540252,3131.070315
67,0.169130729,0.001743719,0.170874448,2967.070136
68,0.168348795,-0.001290503,0.167058292,2953.352625
69,0.161874927,0.001441902,0.163316829,2839.781184
70,0.150083844,0.000552599,0.150636442,2632.929526
71,0.152719169,0.000683647,0.153402816,2679.16119
72,0.160593617,-0.00057106,0.160022557,2817.30309
73,0.158981109,-0.000293511,0.158687598,2789.01476
74,0.161358765,0.001040484,0.162399249,2830.726119
75,0.164384001,-0.000212478,0.164171522,2883.798003
76,0.155750642,0.000838638,0.156589281,2732.342501
77,0.145993969,0.00010393,0.146097899,2561.180624
78,0.154096667,0.001189168,0.155285835,2703.326723
79,0.163143242,-0.00049552,0.162647721,2862.0313
80,0.165979213,-0.000230372,0.165748841,2911.782904
81,0.177032147,0.000116147,0.177148295,3105.685173
82,0.19425963,0.000430367,0.194689996,3407.907888
83,0.196210441,0.000727782,0.196938223,3442.131075
84,0.177810993,0.000256593,0.178067586,3119.348509
85,0.164152139,3.644E-07,0.164152504,2879.730447
86,0.154123038,0.00038917,0.154512209,2703.789353
87,0.135645029,0.000100022,0.135745051,2379.628564
88,0.123962142,0.000373471,0.124335614,2174.675012
89,0.12883573,2.33228E-05,0.128859053,2260.172645
90,0.141945083,0.000249657,0.14219474,2490.15077
91,0.149857072,0.00062807,0.150485141,2628.951249
92,0.155108355,0.000202058,0.155310413,2721.074816
93,0.169253108,0.000104358,0.169357466,2969.21704
94,0.176664814,-3.6761E-06,0.176661138,3099.241025
95,0.167704189,2.884E-07,0.167704477,2942.044257
96,0.154121571,0.000252314,0.154373885,2703.763613
97,0.148858783,0.000399508,0.149258292,2611.438219
98,0.156569995,0.000356286,0.156926281,2746.716448
99,0.15897889,0.000428874,0.159407764,2788.975833
100,0.157651005,0.000146416,0.157797421,2765.680675
101,0.166651836,0.00012434,0.166776176,2923.582765
