TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.112639871,-1.147261228,-1.034621357,257.7453591
2,0.111811853,-1.146430419,-1.034618566,255.8506686
3,0.110840661,-1.145455417,-1.034614756,253.6283622
4,0.109786408,-1.144396598,-1.03461019,251.2159932
5,0.108721063,-1.143326274,-1.034605212,248.7782445
6,0.107723052,-1.142323264,-1.034600211,246.494572
7,0.106871093,-1.141466687,-1.034595594,244.5450977
8,0.106237814,-1.140829555,-1.034591742,243.0960117
9,0.105883747,-1.140472722,-1.034588975,242.2858278
10,0.10585226,-1.140439786,-1.034587526,242.2137793
11,0.106165902,-1.140753416,-1.034587515,242.9314609
12,0.106824516,-1.141413452,-1.034588936,244.4385191
13,0.107805319,-1.142396981,-1.034591662,246.6828163
14,0.109064919,-1.143660371,-1.034595452,249.5650647
15,0.110543113,-1.145143089,-1.034599976,252.9475059
16,0.112168095,-1.14677294,-1.034604845,256.6658284
17,0.113862592,-1.148472239,-1.034609647,260.5432196
18,0.11555038,-1.150164365,-1.034613985,264.4052578
19,0.117162561,-1.151780071,-1.034617511,268.0942902
20,0.118643061,-1.153263018,-1.034619958,271.4820076
21,0.119952858,-1.15457402,-1.034621162,274.479118
22,0.121072584,-1.155693659,-1.034621075,277.0413024
23,0.122003302,-1.156623068,-1.034619766,279.1709956
24,0.122765431,-1.157382845,-1.034617413,280.9149187
25,0.123395946,-1.15801023,-1.034614284,282.3576768
26,0.123944145,-1.158554857,-1.034610712,283.6120801
27,0.124466402,-1.159073465,-1.034607063,284.8071215
28,0.125020373,-1.159624076,-1.034603703,286.0747323
29,0.1256592,-1.160260169,-1.034600969,287.5365116
30,0.12642621,-1.161025343,-1.034599133,289.2916029
31,0.127350573,-1.161948962,-1.034598389,291.4067543
32,0.128444273,-1.163043102,-1.034598829,293.9093855
33,0.129700624,-1.164301067,-1.034600443,296.7841987
34,0.131094435,-1.165697555,-1.03460312,299.9735533
35,0.132583773,-1.167190433,-1.03460666,303.3814931
36,0.134113133,-1.168723925,-1.034610792,306.8810122
37,0.135617736,-1.170232933,-1.034615197,310.3238814
38,0.137028563,-1.171648102,-1.034619539,313.5521719
39,0.138277709,-1.172901196,-1.034623486,316.4104994
40,0.139303611,-1.173930353,-1.034626742,318.7579934
41,0.14005575,-1.174684814,-1.034629064,320.479057
42,0.140498479,-1.175128761,-1.034630282,321.4921206
43,0.140613706,-1.175244013,-1.034630307,321.7557855
44,0.140402273,-1.17503141,-1.034629137,321.2719798
45,0.139883976,-1.174510827,-1.034626851,320.0859978
46,0.139096259,-1.173719863,-1.034623604,318.2835251
47,0.138091744,-1.172711355,-1.034619611,315.9849683
48,0.136934783,-1.171549912,-1.03461513,313.3375814
49,0.135697328,-1.170307772,-1.034610443,310.5060074
50,0.13445441,-1.16906025,-1.034605839,307.6619319
51,0.133279541,-1.167881133,-1.034601592,304.9735668
52,0.13224035,-1.166838294,-1.034597944,302.5956637
53,0.131394726,-1.165989817,-1.034595091,300.6606848
54,0.130787695,-1.165380869,-1.034593174,299.2716615
55,0.130449214,-1.165041482,-1.034592268,298.497141
56,0.130392982,-1.164985365,-1.034592383,298.3684705
57,0.130616318,-1.165209782,-1.034593463,298.8795138
58,0.131101068,-1.165696463,-1.034595395,299.9887299
59,0.131815449,-1.166413464,-1.034598016,301.623394
60,0.132716675,-1.1673178,-1.034601125,303.6856015
61,0.133754153,-1.168358655,-1.034604503,306.0595846
62,0.134873015,-1.169480938,-1.034607923,308.6197929
63,0.136017726,-1.170628897,-1.034611171,311.2391488
64,0.13713551,-1.171749568,-1.034614058,313.7968909
65,0.138179365,-1.172795798,-1.034616433,316.1854667
66,0.139110459,-1.173728653,-1.034618193,318.3160189
67,0.139899767,-1.174519057,-1.034619289,320.1221331
68,0.140528867,-1.175148592,-1.034619725,321.5616549
69,0.140989874,-1.17560943,-1.034619556,322.6165415
70,0.141284568,-1.175903449,-1.034618881,323.2908693
71,0.141422837,-1.176040668,-1.034617831,323.6072593
72,0.141420584,-1.176037143,-1.034616559,323.602104
73,0.141297327,-1.175912549,-1.034615222,323.320063
74,0.141073696,-1.175687668,-1.034613972,322.8083452
75,0.140769073,-1.175382008,-1.034612935,322.1112989
76,0.140399571,-1.175011777,-1.034612206,321.265796
77,0.139976545,-1.174588383,-1.034611838,320.2978171
78,0.139505751,-1.174117589,-1.034611838,319.2205342
79,0.138987231,-1.173599399,-1.034612168,318.0340455
80,0.138415923,-1.173028669,-1.034612747,316.7267632
81,0.137782912,-1.172396372,-1.03461346,315.278291
82,0.137077207,-1.171691383,-1.034614176,313.6634807
83,0.13628784,-1.170902591,-1.034614751,311.8572306
84,0.135406052,-1.170021109,-1.034615057,309.8395024
85,0.134427344,-1.169042328,-1.034614984,307.5999967
86,0.133353129,-1.167967594,-1.034614465,305.1419517
87,0.132191816,-1.166805291,-1.034613475,302.4846074
88,0.130959161,-1.165571202,-1.034612041,299.6640155
89,0.129677832,-1.164288071,-1.034610239,296.7320457
90,0.128376208,-1.162984396,-1.034608188,293.7536374
91,0.127086521,-1.161692558,-1.034606037,290.8025432
92,0.125842515,-1.160446465,-1.03460395,287.955977
93,0.124676867,-1.159278957,-1.034602091,285.2887123
94,0.123618634,-1.158219237,-1.034600603,282.8672388
95,0.122690992,-1.157290591,-1.034599598,280.7445855
96,0.121909498,-1.15650864,-1.034599142,278.956351
97,0.121281064,-1.155880312,-1.034599248,277.5183519
98,0.120803743,-1.15540362,-1.034599878,276.4261341
99,0.120467353,-1.155068294,-1.034600941,275.6563973
100,0.120254871,-1.154857182,-1.034602311,275.1701928
101,0.120144475,-1.154748304,-1.034603829,274.9175799
