TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.129177146,-1.147261228,-1.018084081,295.5863645
2,0.128517227,-1.146598374,-1.018081146,294.076321
3,0.12771296,-1.145789705,-1.018076745,292.2359768
4,0.126834184,-1.14490549,-1.018071306,290.2251392
5,0.125966947,-1.144032332,-1.018065385,288.2407067
6,0.125204773,-1.143264374,-1.018059601,286.4966812
7,0.124638871,-1.14269345,-1.018054579,285.2017696
8,0.124348323,-1.142399202,-1.018050878,284.5369318
9,0.124391298,-1.142440229,-1.018048931,284.6352677
10,0.124798226,-1.142847226,-1.018049,285.5664103
11,0.125567694,-1.14361884,-1.018051146,287.3271263
12,0.126665511,-1.14472073,-1.018055219,289.8391781
13,0.128027073,-1.146087947,-1.018060874,292.9547376
14,0.12956281,-1.147630416,-1.018067606,296.4688507
15,0.131166177,-1.149240974,-1.018074797,300.1377136
16,0.132723371,-1.150805155,-1.018081784,303.7009236
17,0.134123819,-1.15221174,-1.018087921,306.9054635
18,0.135270364,-1.153363009,-1.018092645,309.5290173
19,0.136088153,-1.154183683,-1.01809553,311.4003015
20,0.136531346,-1.154627676,-1.018096331,312.4144266
21,0.136587024,-1.154682024,-1.018094999,312.5418322
22,0.136275942,-1.154367633,-1.018091691,311.8300062
23,0.135650099,-1.153736841,-1.018086742,310.3979361
24,0.134787434,-1.152868071,-1.018080637,308.4239642
25,0.133784207,-1.151858162,-1.018073955,306.1283546
26,0.132745851,-1.150813167,-1.018067316,303.7523645
27,0.131777214,-1.14983853,-1.018061317,301.5359034
28,0.130973108,-1.149029586,-1.018056479,299.6959277
29,0.130410072,-1.148463274,-1.018053202,298.4075753
30,0.130140047,-1.148191778,-1.018051731,297.7896987
31,0.13018649,-1.148238631,-1.018052141,297.8959702
32,0.130543176,-1.148597512,-1.018054336,298.712148
33,0.131175692,-1.149233759,-1.018058067,300.1594875
34,0.132025354,-1.150088316,-1.018062962,302.1037051
35,0.133015081,-1.151083646,-1.018068565,304.3684214
36,0.134056602,-1.152130983,-1.018074382,306.7516555
37,0.135058294,-1.153138216,-1.018079922,309.0437524
38,0.135932921,-1.154017668,-1.018084747,311.0450959
39,0.136604618,-1.154693116,-1.018088498,312.5820903
40,0.137014573,-1.155105498,-1.018090924,313.5201605
41,0.137125017,-1.155216913,-1.018091896,313.7728795
42,0.136921308,-1.155012713,-1.018091404,313.3067487
43,0.136412108,-1.154501659,-1.018089551,312.1415845
44,0.135627773,-1.153714303,-1.01808653,310.3468489
45,0.134617269,-1.152699876,-1.018082607,308.034588
