TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.018275821,0.00073868,0.019014501,320.6137886
2,0.018267076,0.000747593,0.019014669,320.4603583
3,0.018325453,0.000689361,0.019014814,321.4844713
4,0.018463836,0.000550997,0.019014833,323.9121354
5,0.018590229,0.000424585,0.019014815,326.1294618
6,0.018627268,0.000387614,0.019014881,326.779229
7,0.018613955,0.000401134,0.019015089,326.5456894
8,0.0186673,0.000348167,0.019015467,327.4815284
9,0.018895761,0.000120185,0.019015945,331.4894213
10,0.019346703,-0.000330455,0.019016248,339.4003226
11,0.019964029,-0.000947949,0.01901608,350.2301153
12,0.020556159,-0.001540647,0.019015512,360.6178775
13,0.020874636,-0.001859627,0.019015009,366.2049343
14,0.020837434,-0.001822611,0.019014822,365.5522977
15,0.020566034,-0.001551277,0.019014757,360.7911221
16,0.020162738,-0.00114804,0.019014698,353.7160704
17,0.019681088,-0.000666399,0.019014689,345.2664658
18,0.019246546,-0.000231842,0.019014704,337.6432717
19,0.019018545,-3.8474E-06,0.019014697,333.6434227
20,0.019060322,-4.56293E-05,0.019014693,334.3763323
21,0.019288482,-0.000273685,0.019014797,338.3789435
22,0.019565992,-0.000550853,0.019015139,343.2473285
23,0.019868119,-0.000852476,0.019015643,348.5475525
24,0.020260527,-0.001244668,0.01901586,355.4315975
25,0.020585775,-0.001570212,0.019015562,361.137429
26,0.020481115,-0.001465876,0.019015238,359.3013723
27,0.019962194,-0.000947136,0.019015058,350.1979202
28,0.019437424,-0.000422534,0.019014891,340.9918578
29,0.019246237,-0.0002315,0.019014737,337.6378485
30,0.019482356,-0.000467814,0.019014542,341.7800878
31,0.020001807,-0.000987523,0.019014284,350.8928523
32,0.020539981,-0.001525802,0.019014179,360.3340718
33,0.020978601,-0.00196424,0.019014361,368.0288039
34,0.021391615,-0.002376999,0.019014617,375.2743383
35,0.021770875,-0.002756128,0.019014747,381.9277178
36,0.021976667,-0.002961896,0.019014771,385.537944
37,0.021938204,-0.002923357,0.019014847,384.8631846
38,0.021719127,-0.00270403,0.019015097,381.0198976
39,0.021427913,-0.002412466,0.019015447,375.9111102
40,0.021149561,-0.00213393,0.019015631,371.0279699
41,0.020907799,-0.001892291,0.019015508,366.7867171
42,0.020661953,-0.0016467,0.019015254,362.4738376
43,0.020407582,-0.001392404,0.019015179,358.0113884
44,0.020331026,-0.001315729,0.019015297,356.6683557
45,0.020709983,-0.001694747,0.019015236,363.3164243
46,0.021475462,-0.002460753,0.019014709,376.7452717
47,0.021986944,-0.00297276,0.019014185,385.7182329
48,0.021736593,-0.002722444,0.019014148,381.3262983
49,0.020982404,-0.001967983,0.019014421,368.0955266
50,0.020314702,-0.001299855,0.019014847,356.3819853
51,0.020233713,-0.001218454,0.019015259,354.9611995
52,0.02100704,-0.001991649,0.019015392,368.527715
53,0.022346181,-0.003331143,0.019015038,392.020334
54,0.023241713,-0.004226665,0.019015047,407.7307036
55,0.023113678,-0.004097964,0.019015714,405.4845879
56,0.022463642,-0.003447618,0.019016024,394.0809639
57,0.021893261,-0.002877402,0.019015859,384.0747321
58,0.021641838,-0.002626365,0.019015473,379.6640119
59,0.021633666,-0.002618533,0.019015133,379.520643
60,0.021710153,-0.002695247,0.019014907,380.8624675
61,0.021809532,-0.002794885,0.019014647,382.6058724
62,0.021855312,-0.002841037,0.019014275,383.4090064
63,0.021637938,-0.002623673,0.019014265,379.5955922
64,0.02125057,-0.002235923,0.019014647,372.7999708
65,0.021127088,-0.002112301,0.019014787,370.6337254
66,0.021415272,-0.002400526,0.019014746,375.689352
67,0.022008288,-0.002993438,0.01901485,386.0926594
68,0.022890081,-0.003875056,0.019015025,401.5620149
69,0.024065025,-0.005050072,0.019014954,422.1741288
70,0.025251321,-0.006236704,0.019014617,442.9853766
71,0.02589758,-0.006882754,0.019014826,454.3227434
72,0.026064679,-0.007048998,0.019015681,457.2541628
73,0.026961931,-0.00794568,0.019016252,472.9947179
74,0.029812282,-0.010797446,0.019014837,522.9985836
75,0.033979582,-0.014961833,0.019017749,596.1057691
76,0.046128048,-0.027102418,0.01902563,809.2270085
77,0.057184399,-0.038212819,0.01897158,1003.189203
78,0.050735959,-0.03173478,0.019001178,890.0638528
79,0.056834331,-0.03783244,0.019001892,997.0479517
80,0.059189422,-0.040196244,0.018993179,1038.363444
81,0.047333582,-0.028317831,0.019015751,830.3757511
82,0.044550523,-0.025544103,0.01900642,781.5523946
83,0.037907097,-0.018897979,0.019009117,665.0063839
84,0.033923715,-0.014901586,0.019022129,595.1256796
85,0.04898046,-0.030010738,0.018969722,859.2670365
86,0.04385772,-0.024849666,0.019008054,769.3985139
87,0.046249612,-0.027236628,0.019012984,811.3596103
88,0.043849891,-0.024757998,0.019091893,769.2611688
89,0.047882934,-0.028824408,0.019058526,840.0130662
90,0.062759261,-0.043880859,0.018878402,1100.989342
91,0.054887996,-0.035907661,0.018980335,962.9032717
92,0.053295982,-0.034289226,0.019006757,934.9744927
93,0.063540922,-0.044495047,0.019045874,1114.702051
94,0.048739814,-0.029654917,0.019084897,855.0453627
95,0.066324909,-0.047395475,0.018929434,1163.541696
96,0.06128211,-0.042243321,0.019038789,1075.075587
97,0.074397243,-0.055495632,0.018901611,1305.155125
98,0.08195079,-0.063270348,0.018680443,1437.667439
99,0.062051863,-0.043081056,0.018970807,1088.579412
100,0.046140982,-0.027088744,0.019052238,809.4539047
101,0.060954103,-0.041980799,0.018973305,1069.321352
