TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.111853931,-10.02352376,-9.911669827,255.9469507
2,0.206883901,-10.12464917,-9.917765272,473.3968969
3,0.438713204,-10.35536145,-9.91664825,1003.874485
4,0.798789051,-10.71417402,-9.915384974,1827.809007
5,1.304707968,-11.21803341,-9.913325439,2985.465279
6,1.989232062,-11.89835596,-9.909123893,4551.810364
7,2.920644988,-12.82074677,-9.900101786,6683.092627
8,4.244597458,-14.12683163,-9.882234167,9712.593656
9,6.511293116,-16.2035221,-9.692228981,14899.30313
10,11.88402893,-18.8873078,-7.003278867,27193.33109
11,24.07456923,-25.04094868,-0.966379454,55088.02911
12,373.1949847,-14.37659379,358.8183909,853954.0619
13,533218346.9,27054.50897,533245401.4,1.22012E+12
14,3202218949,11259152.08,3213478101,7.3274E+12
15,1.32943E+14,53643403.75,1.32943E+14,3.04203E+17
16,6.32121E+14,2.85618E+12,6.34977E+14,1.44643E+18
17,6.50637E+14,1.12451E+13,6.61882E+14,1.4888E+18
18,4.14106E+14,2.46456E+13,4.38752E+14,9.47569E+17
19,5.49452E+14,4.22265E+13,5.91678E+14,1.25727E+18
20,2.92692E+18,6.43791E+13,2.92698E+18,6.69744E+21
21,1.28281E+19,3.54568E+16,1.28635E+19,2.93536E+22
22,9.54126E+18,1.39413E+17,9.68067E+18,2.18326E+22
23,1.45355E+19,3.05578E+17,1.4841E+19,3.32604E+22
24,1.03335E+19,5.23877E+17,1.08574E+19,2.36454E+22
25,1.17223E+19,7.81248E+17,1.25036E+19,2.68233E+22
26,1.02323E+19,1.06259E+18,1.12949E+19,2.34138E+22
27,1.05363E+19,1.35182E+18,1.18881E+19,2.41095E+22
28,1.37992E+19,1.63303E+18,1.54323E+19,3.15757E+22
29,8.70388E+18,1.8916E+18,1.05955E+19,1.99164E+22
30,9.86142E+18,2.1151E+18,1.19765E+19,2.25652E+22
31,7.8043E+18,2.29418E+18,1.00985E+19,1.7858E+22
32,9.61624E+18,2.42301E+18,1.20393E+19,2.20041E+22
33,1.14872E+19,2.49961E+18,1.39868E+19,2.62853E+22
34,1.18814E+19,2.52574E+18,1.44071E+19,2.71872E+22
35,1.38816E+19,2.50662E+18,1.63882E+19,3.17643E+22
36,1.13941E+19,2.45031E+18,1.38444E+19,2.60722E+22
37,1.1335E+19,2.36694E+18,1.37019E+19,2.5937E+22
38,1.24384E+19,2.26781E+18,1.47062E+19,2.84619E+22
39,9.01669E+18,2.16441E+18,1.11811E+19,2.06322E+22
40,1.13012E+19,2.06752E+18,1.33687E+19,2.58596E+22
41,1.13194E+19,1.98632E+18,1.33057E+19,2.59013E+22
42,1.29573E+19,1.92784E+18,1.48852E+19,2.96493E+22
43,1.35218E+19,1.8964E+18,1.54182E+19,3.0941E+22
44,1.27824E+19,1.89353E+18,1.46759E+19,2.92489E+22
45,1.32651E+19,1.91796E+18,1.5183E+19,3.03534E+22
46,1.33719E+19,1.96597E+18,1.53379E+19,3.0598E+22
47,1.10835E+19,2.03188E+18,1.31154E+19,2.53616E+22
48,1.04979E+19,2.10871E+18,1.26066E+19,2.40215E+22
49,1.00226E+19,2.18894E+18,1.22115E+19,2.29339E+22
50,9.58554E+18,2.26527E+18,1.18508E+19,2.19339E+22
51,9.9987E+18,2.33132E+18,1.233E+19,2.28793E+22
52,1.19275E+19,2.38225E+18,1.43098E+19,2.72929E+22
53,9.96112E+18,2.41516E+18,1.23763E+19,2.27933E+22
54,8.41055E+18,2.42933E+18,1.08399E+19,1.92452E+22
55,1.2386E+19,2.4262E+18,1.48122E+19,2.83419E+22
56,1.21258E+19,2.40917E+18,1.45349E+19,2.77465E+22
57,1.04701E+19,2.3832E+18,1.28533E+19,2.39579E+22
58,1.2416E+19,2.35423E+18,1.47702E+19,2.84106E+22
59,9.18105E+18,2.32855E+18,1.15096E+19,2.10083E+22
60,1.01409E+19,2.3121E+18,1.2453E+19,2.32047E+22
61,1.29509E+19,2.30984E+18,1.52608E+19,2.96347E+22
62,1.27612E+19,2.32518E+18,1.50864E+19,2.92006E+22
63,1.34679E+19,2.3596E+18,1.58275E+19,3.08176E+22
64,9.5703E+18,2.41241E+18,1.19827E+19,2.1899E+22
65,9.48092E+18,2.48081E+18,1.19617E+19,2.16945E+22
66,1.06804E+19,2.56001E+18,1.32404E+19,2.44391E+22
67,1.1819E+19,2.64374E+18,1.44628E+19,2.70446E+22
68,1.18995E+19,2.7247E+18,1.46242E+19,2.72288E+22
69,1.2576E+19,2.79536E+18,1.53713E+19,2.87767E+22
70,1.00948E+19,2.84855E+18,1.29433E+19,2.30992E+22
71,1.40752E+19,2.87825E+18,1.69534E+19,3.22071E+22
72,1.52467E+19,2.88016E+18,1.81268E+19,3.48879E+22
73,9.70786E+18,2.85216E+18,1.256E+19,2.22138E+22
74,1.25853E+19,2.79461E+18,1.53799E+19,2.87981E+22
75,1.14552E+19,2.71042E+18,1.41656E+19,2.62121E+22
76,1.12036E+19,2.60484E+18,1.38085E+19,2.56364E+22
77,1.02187E+19,2.48512E+18,1.27038E+19,2.33827E+22
78,1.3256E+19,2.35994E+18,1.5616E+19,3.03328E+22
79,1.40082E+19,2.23865E+18,1.62469E+19,3.2054E+22
