TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.019434824,0.00073868,0.020173504,340.9462404
2,0.019140085,0.001033445,0.020173529,335.77561
3,0.019002442,0.001171351,0.020173793,333.3609331
4,0.019001666,0.001172685,0.020174352,333.3473247
5,0.019166578,0.001008565,0.020175143,336.2403871
6,0.019539183,0.000636652,0.020175835,342.7770136
7,0.020110862,6.50649E-05,0.020175927,352.8060076
8,0.020741423,-0.000566166,0.020175258,363.8679844
9,0.021140825,-0.00096653,0.020174294,370.8747028
10,0.021047259,-0.000873567,0.020173692,369.2332793
11,0.020522508,-0.000348934,0.020173574,360.0275488
12,0.019913756,0.000259831,0.020173587,349.3481757
13,0.019494183,0.00067939,0.020173573,341.9875765
14,0.019332393,0.00084124,0.020173633,339.1492855
15,0.019398028,0.000775873,0.020173901,340.3007266
16,0.019641866,0.000532578,0.020174444,344.578389
17,0.020013956,0.000161136,0.020175091,351.1059799
18,0.020453911,-0.000278517,0.020175394,358.8241406
19,0.020863753,-0.000688706,0.020175047,366.0140201
20,0.021097027,-0.000922705,0.020174322,370.1063606
21,0.021022824,-0.000849065,0.02017376,368.8046203
22,0.02064065,-0.000467076,0.020173574,362.1001134
23,0.02009549,7.81264E-05,0.020173617,352.5363416
24,0.019565371,0.000608369,0.020173739,343.2364223
25,0.019183381,0.000990566,0.020173947,336.5351598
26,0.019054635,0.0011197,0.020174336,334.2765666
27,0.019280932,0.000894007,0.020174939,338.2464973
28,0.019896574,0.000278954,0.020175528,349.0467446
29,0.020694974,-0.000519307,0.020175667,363.0531229
30,0.02120882,-0.001033507,0.020175314,372.0675601
31,0.021168337,-0.000993565,0.020174772,371.3573557
32,0.020806083,-0.000631876,0.020174207,365.0023126
33,0.020506202,-0.000332429,0.020173773,359.741478
34,0.020483907,-0.000310366,0.020173541,359.3503637
35,0.020767259,-0.000593797,0.020173462,364.3212163
36,0.021258913,-0.001085407,0.020173506,372.9463337
37,0.021796561,-0.001622834,0.020173727,382.3783284
38,0.022205881,-0.002031716,0.020174165,389.5590564
39,0.022315966,-0.002141142,0.020174825,391.490286
40,0.022074026,-0.001898527,0.020175499,387.2459021
41,0.021675341,-0.001499656,0.020175686,380.2517599
42,0.021424045,-0.001248743,0.020175302,375.8432572
43,0.021583273,-0.001408555,0.020174718,378.6366073
44,0.022301155,-0.002127031,0.020174123,391.2304392
45,0.023386947,-0.003213667,0.02017328,410.2785595
46,0.024038229,-0.003865636,0.020172593,421.7040389
47,0.02368468,-0.003511461,0.020173219,415.5017123
48,0.023210746,-0.00303671,0.020174036,407.1874613
49,0.023610247,-0.003435773,0.020174474,414.195922
50,0.024908109,-0.004733676,0.020174433,436.9643978
51,0.026142798,-0.005968446,0.020174352,458.6246121
52,0.026554428,-0.006379011,0.020175417,465.8458582
53,0.027253583,-0.007078059,0.020175524,478.1111821
54,0.028790923,-0.008617622,0.020173301,505.0808227
55,0.030182115,-0.010006847,0.020175269,529.486587
56,0.03420117,-0.014027317,0.020173854,599.9931001
57,0.039175497,-0.019001871,0.020173625,687.2579945
58,0.050378754,-0.03019912,0.020179634,883.7973842
59,0.056373324,-0.03623368,0.020139644,988.9604742
60,0.046676274,-0.026662092,0.020014182,818.8445749
61,0.045798423,-0.025631272,0.020167151,803.4443809
62,0.040573193,-0.020396947,0.020176246,711.777867
63,0.037081096,-0.016909143,0.020171953,650.515807
64,0.033927192,-0.013757932,0.020169259,595.1866783
65,0.029345358,-0.009171245,0.020174114,514.8073153
66,0.028043105,-0.007871736,0.020171368,491.9618015
67,0.026204837,-0.006033448,0.020171389,459.7129672
68,0.023679277,-0.003504568,0.020174709,415.40692
69,0.024510161,-0.004336178,0.020173983,429.9831616
70,0.026274831,-0.0061037,0.020171131,460.940872
71,0.024743217,-0.004568976,0.020174242,434.0716868
72,0.023320606,-0.003146072,0.020174534,409.114742
73,0.023382115,-0.003207746,0.020174369,410.1937858
74,0.023636355,-0.003461837,0.020174519,414.6539433
75,0.023430766,-0.003255183,0.020175583,411.0472733
76,0.024045579,-0.003870144,0.020175435,421.8329792
77,0.025713292,-0.00554108,0.020172212,451.0897671
78,0.025448935,-0.005277822,0.020171113,446.4521265
79,0.022622293,-0.002448684,0.020173609,396.8641902
80,0.020177521,-3.1638E-06,0.020174358,353.9754199
81,0.019292428,0.000882038,0.020174466,338.4481814
82,0.019948813,0.000225983,0.020174796,349.9631729
83,0.021964323,-0.001789813,0.02017451,385.3213901
84,0.024044269,-0.003871937,0.020172333,421.8099994
85,0.023442714,-0.003268989,0.020173725,411.25689
86,0.021433775,-0.001257434,0.020176341,376.0139579
87,0.02139247,-0.001216774,0.020175696,375.2893387
88,0.023755145,-0.003581531,0.020173614,416.7378695
89,0.026432737,-0.006261946,0.020170791,463.7110252
90,0.026586216,-0.006414284,0.020171932,466.4035141
91,0.02546386,-0.005290522,0.020173338,446.7139633
92,0.025326624,-0.005152952,0.020173672,444.3064163
93,0.026953067,-0.006780161,0.020172906,472.8392097
94,0.029065689,-0.008894735,0.020170954,509.9010504
95,0.029268868,-0.009094551,0.020174316,513.4654359
96,0.02980135,-0.009625463,0.020175887,522.8067945
97,0.032311566,-0.01213539,0.020176175,566.8436574
98,0.03606081,-0.015891169,0.020169641,632.616866
99,0.038659249,-0.018477291,0.020181958,678.2014286
100,0.055344942,-0.035224165,0.020120776,970.919504
101,0.05298587,-0.033112198,0.019873671,929.534165
