TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.130823522,-1.147261228,-1.016437705,299.3536432
2,0.000424406,-1.147686875,-1.147262468,0.971136472
3,0.00094567,-1.148528262,-1.147582592,2.163905741
4,0.00165849,-1.149765906,-1.148107416,3.794998963
5,0.002546593,-1.15137139,-1.148824797,5.827177728
6,0.003589991,-1.153308304,-1.149718314,8.214705599
7,0.004765634,-1.155533435,-1.150767801,10.90484159
8,0.006048158,-1.157998174,-1.151950016,13.83954625
9,0.007410695,-1.160650079,-1.153239384,16.95733688
10,0.008825716,-1.163434539,-1.154608823,20.19522323
11,0.010265885,-1.16629648,-1.156030595,23.49065348
12,0.011704881,-1.169182044,-1.157477163,26.78340047
13,0.013118169,-1.172040192,-1.158922023,30.01732211
14,0.014483688,-1.174824167,-1.16034048,33.14193568
15,0.015782432,-1.177492771,-1.161710339,36.11375386
16,0.016998915,-1.180011413,-1.163012498,38.89734068
17,0.018121495,-1.182352901,-1.164231406,41.46605674
18,0.019142557,-1.18449795,-1.165355393,43.80247554
19,0.020058546,-1.1864354,-1.166376853,45.89846531
20,0.020869864,-1.188162141,-1.167292276,47.75494352
21,0.021580625,-1.189682764,-1.168102139,49.38132287
22,0.022198289,-1.19100895,-1.16881066,50.79467866
23,0.022733201,-1.192158631,-1.16942543,52.0186768
24,0.02319803,-1.193154967,-1.169956937,53.08230918
25,0.023607159,-1.194025171,-1.170418012,54.01848896
26,0.023976036,-1.194799238,-1.170823202,54.86256173
27,0.024320507,-1.195508627,-1.171188121,55.65078951
28,0.024656171,-1.196184944,-1.171528773,56.41886406
29,0.024997762,-1.196858667,-1.171860904,57.20050237
30,0.025358597,-1.197557977,-1.172199381,58.0261728
31,0.025750088,-1.198307715,-1.172557627,58.92199334
32,0.026181358,-1.199128501,-1.172947143,59.90883592
33,0.026658945,-1.200036054,-1.17337711,61.00166148
34,0.02718662,-1.201040718,-1.173854098,62.20910131
35,0.027765317,-1.202147201,-1.174381884,63.53329038
36,0.028393166,-1.203354545,-1.174961379,64.96994888
37,0.02906563,-1.204656297,-1.175590667,66.50869911
38,0.029775743,-1.206040885,-1.176265142,68.133597
39,0.030514418,-1.207492167,-1.17697775,69.82385034
40,0.031270829,-1.20899013,-1.177719301,71.5546902
41,0.032032847,-1.210511706,-1.178478859,73.29835824
42,0.032787498,-1.212031671,-1.179244173,75.02516952
43,0.033521447,-1.213523598,-1.180002151,76.7046104
44,0.034221475,-1.214960813,-1.180739339,78.30643101
45,0.034874935,-1.21631734,-1.181442406,79.80169456
46,0.03547018,-1.217568785,-1.182098605,81.16374898
47,0.035996938,-1.21869314,-1.182696202,82.36909085
48,0.036446635,-1.219671486,-1.183224852,83.39809726
49,0.036812643,-1.220488568,-1.183675925,84.23560689
50,0.03709047,-1.221133229,-1.184042758,84.87133795
51,0.037277864,-1.221598705,-1.184320841,85.30013699
52,0.037374848,-1.22188277,-1.184507922,85.52205837
53,0.037383685,-1.221987727,-1.184604042,85.54228013
54,0.037308774,-1.221920272,-1.184611498,85.37086664
55,0.037156484,-1.22169122,-1.184534736,85.02239293
56,0.03693494,-1.221315126,-1.184380186,84.51544878
