TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.013587489,0.000363443,0.013950932,238.3660984
2,0.015652575,0.000308389,0.015960964,274.5940182
3,0.021484533,0.000131645,0.021616178,376.9043976
4,0.031240828,-0.000165744,0.031075084,548.0596446
5,0.044417579,-0.000389195,0.044028384,779.2201475
6,0.059096597,-0.000113205,0.058983392,1036.735003
7,0.071447286,0.000582359,0.072029645,1253.403856
8,0.07900333,0.000688905,0.079692234,1385.959972
9,0.083202617,0.000371039,0.083573656,1459.628312
10,0.085552441,-0.00011326,0.085439181,1500.851402
11,0.083224798,-0.000632295,0.082592503,1460.017429
12,0.076426649,-0.000487095,0.075939554,1340.757103
13,0.068998412,-0.000304878,0.068693534,1210.443115
14,0.061508398,-0.000184652,0.061323746,1079.04537
15,0.053517445,-0.000137025,0.053380419,938.8596178
16,0.045477749,-0.000125216,0.045352532,797.81877
17,0.038270717,-0.00014198,0.038128738,671.3854024
18,0.032201572,-0.000216872,0.0319847,564.914027
19,0.027322766,-0.000274415,0.027048351,479.3248514
20,0.024225429,-0.000293456,0.023931973,424.9881051
21,0.02374726,-0.000340514,0.023406746,416.5995477
22,0.026260721,-0.000366036,0.025894686,460.693349
23,0.031630392,-0.000345816,0.031284576,554.89379
24,0.040079336,-0.000336022,0.039743314,703.1141039
25,0.052514706,-0.000310767,0.052203939,921.2685157
26,0.068957932,-0.000133161,0.068824771,1209.732985
27,0.087646821,0.000281297,0.087928118,1537.593239
28,0.107187383,0.000240395,0.107427779,1880.394446
29,0.128843776,-8.03784E-05,0.128763398,2260.313792
30,0.148636335,0.000236872,0.148873207,2607.535791
31,0.162106226,0.000768236,0.162874462,2843.838876
32,0.1729455,0.001169576,0.174115076,3033.992889
33,0.185766983,0.000232682,0.185999665,3258.920897
34,0.202689982,0.000278144,0.202968126,3555.802045
35,0.218415462,7.02191E-05,0.218485682,3831.675055
36,0.235957985,-5.15675E-05,0.235906418,4139.424546
37,0.256299785,0.000497319,0.256797104,4496.281913
38,0.261493406,-0.000189218,0.261304188,4587.393902
39,0.256902481,-0.000248855,0.256653626,4506.85504
40,0.248255913,-8.63497E-05,0.248169564,4355.167805
41,0.245235269,-0.000468493,0.244766777,4302.176474
42,0.241760831,-0.000377237,0.241383593,4241.224195
43,0.240295897,0.000365649,0.240661545,4215.524777
44,0.248553372,0.001012871,0.249566243,4360.386139
45,0.270867597,-0.000615591,0.270252006,4751.845884
46,0.279125006,-0.001746892,0.277378115,4896.706085
47,0.270044138,-6.89019E-05,0.269975236,4737.399895
48,0.254084225,0.000944143,0.255028368,4457.414211
49,0.23295046,0.000639272,0.233589732,4086.663348
50,0.235990666,0.00205726,0.238047926,4139.997868
51,0.258195984,0.002468241,0.260664225,4529.547037
52,0.278490502,0.002260092,0.280750594,4885.574942
53,0.264547178,0.002401556,0.266948734,4640.9664
54,0.22520366,-0.000529086,0.224674575,3950.760801
55,0.205021075,-0.003659961,0.201361114,3596.696542
56,0.213500658,-0.000733635,0.212767023,3745.454352
57,0.256446941,0.007110139,0.263557079,4498.863473
58,0.35682732,0.020811661,0.377638981,6259.842255
59,1.042442346,0.104276199,1.146718545,18287.62619
60,291305.1172,0.00028573,291305.1175,5110382473
61,186711.9718,0.000640927,186711.9725,3275498891
62,203791.6455,0.000703493,203791.6462,3575128592
63,147339.8038,0.000603413,147339.8044,2584790676
64,272942.2745,0.000918855,272942.2754,4788242065
65,219762.8012,0.000836906,219762.802,3855311497
66,180449.6148,0.000564715,180449.6153,3165638000
67,258180.1773,0.000309977,258180.1776,4529269742
68,166521.2214,9.01183E-05,166521.2215,2921291392
69,230792.4916,0.000409651,230792.492,4048805992
70,207092.9651,0.000502121,207092.9656,3633043832
71,215258.356,0.000421634,215258.3564,3776289755
72,200547.1545,0.000410639,200547.1549,3518210299
73,231099.125,0.000453504,231099.1255,4054185279
74,275725.6976,0.000203258,275725.6978,4837071816
75,238349.9007,0.000174872,238349.9009,4181386056
76,147262.2377,0.000332961,147262.238,2583429930
77,301449.6143,0.000509967,301449.6148,5288347971
78,199208.9482,0.000817305,199208.949,3494734068
79,229601.4261,0.001076646,229601.4272,4027911062
80,200231.9465,0.000914566,200231.9474,3512680587
81,190280.4304,0.00045291,190280.4308,3338100565
82,150499.0889,-0.000544628,150499.0884,2640214198
83,190882.6764,-0.000341294,190882.6761,3348665803
84,236221.5077,0.000163537,236221.5079,4144047535
85,228390.1107,8.38638E-05,228390.1108,4006660885
86,278099.7419,-0.000191181,278099.7417,4878719812
87,275929.972,-0.000622835,275929.9714,4840655414
88,163121.6696,-0.000614239,163121.669,2861652859
89,224271.8705,0.000356453,224271.8709,3934414360
90,191428.4873,0.000480356,191428.4878,3358240994
91,214543.1891,-0.000446863,214543.1887,3763743541
92,239232.1326,-0.000680645,239232.1319,4196863100
93,173964.1488,0.000157693,173964.149,3051863096
94,151468.3514,0.001126053,151468.3526,2657218026
95,170001.4754,0.001267477,170001.4766,2982345687
96,203616.024,0.000820003,203616.0248,3572047653
97,246843.5211,0.000306874,246843.5214,4330390129
98,260221.5521,0.000323998,260221.5525,4565081698
99,162877.7465,0.000595317,162877.7471,2857373701
100,158570.0838,1.93023E-05,158570.0838,2781804126
101,188148.2991,-0.000190778,188148.2989,3300696464
