TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.013350971,24506.37192,24506.38527,234.2168579
2,0.01907301,24506.36895,24506.38527,334.5989182
3,0.024771087,24506.36118,24506.38527,434.5606082
4,0.016099579,24506.35385,24506.38527,282.4358415
5,0.013232948,24506.34612,24506.38527,232.1463687
6,0.016471392,24506.33776,24506.38527,288.9585811
7,0.019741323,24506.32913,24506.38527,346.3231603
8,0.017375403,24506.32147,24506.38527,304.8176937
9,0.014670908,24506.31524,24506.38527,257.3725801
10,0.015495592,24506.30975,24506.38527,271.8400613
11,0.018304091,24506.30441,24506.38527,321.1097287
12,0.018526236,24506.29925,24506.38527,325.0068174
13,0.016190766,24506.29461,24506.38527,284.0355404
14,0.015480954,24506.29041,24506.38527,271.583269
15,0.017162161,24506.28632,24506.38527,301.0767802
16,0.018474834,24506.28224,24506.38527,324.1050725
17,0.017201653,24506.27839,24506.38527,301.7695867
18,0.015806119,24506.27492,24506.38527,277.2876567
19,0.016412749,24506.27166,24506.38527,287.9298075
20,0.017961088,24506.26846,24506.38527,315.0924036
21,0.017844753,24506.26534,24506.38527,313.0515351
22,0.016411479,24506.26247,24506.38527,287.9075147
23,0.016109381,24506.25982,24506.38527,282.6077994
24,0.017302416,24506.25724,24506.38527,303.5372867
25,0.018020675,24506.25471,24506.38527,316.1377467
26,0.017062951,24506.2523,24506.38527,299.3363301
27,0.016178982,24506.25008,24506.38527,283.8288179
28,0.016742416,24506.24796,24506.38527,293.7131659
29,0.017807725,24506.24587,24506.38527,312.4019526
30,0.017570823,24506.24383,24506.38527,308.2459665
31,0.016520185,24506.24192,24506.38527,289.8145658
32,0.016422049,24506.24012,24506.38527,288.0929465
33,0.017379475,24506.23835,24506.38527,304.8891337
34,0.017796423,24506.23661,24506.38527,312.2036829
35,0.016979414,24506.23493,24506.38527,297.870838
36,0.016374441,24506.23336,24506.38527,287.2577591
37,0.016927247,24506.23184,24506.38527,296.955676
38,0.017717237,24506.23034,24506.38527,310.8145143
39,0.017399406,24506.22887,24506.38527,305.2387772
40,0.016569465,24506.22749,24506.38527,290.6790854
41,0.016606945,24506.22617,24506.38527,291.336598
42,0.017420876,24506.22488,24506.38527,305.6154311
43,0.017646261,24506.2236,24506.38527,309.5693742
44,0.016915077,24506.22238,24506.38527,296.7421662
45,0.01649769,24506.22123,24506.38527,289.4199181
46,0.017049571,24506.2201,24506.38527,299.1016112
47,0.017654851,24506.21899,24506.38527,309.7200743
48,0.017281215,24506.21791,24506.38527,303.1653447
49,0.016603616,24506.21687,24506.38527,291.278191
50,0.01674121,24506.21588,24506.38527,293.6920165
51,0.017452526,24506.2149,24506.38527,306.1706712
52,0.017538139,24506.21393,24506.38527,307.6725915
53,0.016867185,24506.21299,24506.38527,295.9019974
54,0.016589952,24506.2121,24506.38527,291.0384873
55,0.017140831,24506.21123,24506.38527,300.7025931
56,0.017603254,24506.21036,24506.38527,308.8149061
57,0.017187256,24506.20951,24506.38527,301.5170262
58,0.016628646,24506.20871,24506.38527,291.7172954
59,0.016844959,24506.20792,24506.38527,295.5120937
60,0.017471649,24506.20715,24506.38527,306.5061511
61,0.017447308,24506.20638,24506.38527,306.0791382
62,0.016828231,24506.20565,24506.38527,295.2186307
63,0.016665679,24506.20494,24506.38527,292.3669695
64,0.017212367,24506.20425,24506.38527,301.9575503
65,0.017555944,24506.20356,24506.38527,307.984943
66,0.017109764,24506.20289,24506.38527,300.1575812
67,0.0166528,24506.20224,24506.38527,292.1410243
68,0.016932718,24506.20161,24506.38527,297.051641
69,0.017483231,24506.20099,24506.38527,306.7093226
70,0.017368487,24506.20037,24506.38527,304.6963668
71,0.016798431,24506.19978,24506.38527,294.6958424
72,0.016733772,24506.1992,24506.38527,293.5615225
73,0.017270899,24506.19864,24506.38527,302.9843833
74,0.017509863,24506.19807,24506.38527,307.1765433
75,0.01704354,24506.19753,24506.38527,298.9958103
76,0.01667814,24506.197,24506.38527,292.5855755
77,0.01700936,24506.19648,24506.38527,298.3961772
78,0.017486814,24506.19596,24506.38527,306.772183
79,0.01729627,24506.19546,24506.38527,303.429459
80,0.016775993,24506.19497,24506.38527,294.3022061
81,0.01679728,24506.19449,24506.38527,294.6756493
82,0.017318385,24506.19402,24506.38527,303.8174205
83,0.017462693,24506.19355,24506.38527,306.3490356
84,0.01698607,24506.1931,24506.38527,297.9876013
85,0.016706165,24506.19266,24506.38527,293.0772231
86,0.017077848,24506.19223,24506.38527,299.5976678
87,0.017483105,24506.1918,24506.38527,306.7071146
88,0.017229185,24506.19137,24506.38527,302.2525933
89,0.016761038,24506.19096,24506.38527,294.0398547
90,0.016858568,24506.19056,24506.38527,295.7508257
91,0.017356746,24506.19017,24506.38527,304.490387
92,0.017414266,24506.18977,24506.38527,305.499468
93,0.016936638,24506.18939,24506.38527,297.1204197
94,0.016737871,24506.18902,24506.38527,293.633441
95,0.017139823,24506.18865,24506.38527,300.6849061
96,0.017472625,24506.18829,24506.38527,306.5232738
97,0.017166438,24506.18793,24506.38527,301.151816
98,0.016753366,24506.18758,24506.38527,293.9052672
99,0.016918449,24506.18724,24506.38527,296.8013336
100,0.017386522,24506.1869,24506.38527,305.0127524
101,0.017364162,24506.18657,24506.38527,304.6204976
102,0.016894533,24506.18624,24506.38527,296.3817655
103,0.016773331,24506.18592,24506.38527,294.255509
104,0.017195552,24506.18561,24506.38527,301.6625629
105,0.017455326,24506.18529,24506.38527,306.2197962
106,0.017107525,24506.18498,24506.38527,300.1182957
107,0.016752686,24506.18468,24506.38527,293.8933367
108,0.016976945,24506.18439,24506.38527,297.8275242
109,0.017407795,24506.18409,24506.38527,305.3859435
110,0.017312428,24506.1838,24506.38527,303.7129231
111,0.016859563,24506.18352,24506.38527,295.7682832
112,0.016812442,24506.18324,24506.38527,294.9416338
113,0.017245041,24506.18297,24506.38527,302.5307409
114,0.017431608,24506.1827,24506.38527,305.8037112
115,0.017052681,24506.18243,24506.38527,299.1561634
116,0.01675892,24506.18217,24506.38527,294.0026917
117,0.017033912,24506.18191,24506.38527,298.8268944
118,0.017420872,24506.18165,24506.38527,305.6153654
119,0.017259701,24506.1814,24506.38527,302.7879307
120,0.016831855,24506.18115,24506.38527,295.2822082
121,0.016854969,24506.18091,24506.38527,295.6876855
122,0.017288226,24506.18067,24506.38527,303.2883475
123,0.01740214,24506.18043,24506.38527,305.2867468
124,0.017002371,24506.1802,24506.38527,298.2735661
125,0.016771891,24506.17997,24506.38527,294.2302471
126,0.017088959,24506.17974,24506.38527,299.7925916
127,0.017426031,24506.17952,24506.38527,305.7058641
128,0.017206697,24506.1793,24506.38527,301.8580798
129,0.016811482,24506.17908,24506.38527,294.9248053
130,0.01690042,24506.17887,24506.38527,296.4850361
131,0.017324841,24506.17865,24506.38527,303.9306823
132,0.017367553,24506.17844,24506.38527,304.6799809
133,0.016957027,24506.17824,24506.38527,297.4781047
134,0.016791256,24506.17804,24506.38527,294.569977
135,0.017141448,24506.17784,24506.38527,300.7134081
136,0.01742345,24506.17764,24506.38527,305.660588
137,0.01715412,24506.17744,24506.38527,300.9357159
138,0.016798447,24506.17725,24506.38527,294.6961266
139,0.016948104,24506.17706,24506.38527,297.3215573
140,0.017354495,24506.17687,24506.38527,304.4509073
141,0.017328503,24506.17668,24506.38527,303.9949237
142,0.016917094,24506.1765,24506.38527,296.7775481
143,0.016816561,24506.17632,24506.38527,295.0138935
144,0.017190614,24506.17614,24506.38527,301.5759331
145,0.017413369,24506.17596,24506.38527,305.4837274
146,0.017102755,24506.17579,24506.38527,300.0346181
147,0.016792724,24506.17561,24506.38527,294.5957317
148,0.016997219,24506.17545,24506.38527,298.1831897
149,0.01737685,24506.17528,24506.38527,304.8430738
150,0.017285795,24506.17511,24506.38527,303.2456909
151,0.016883048,24506.17494,24506.38527,296.1802891
152,0.016847266,24506.17478,24506.38527,295.5525543
153,0.017235689,24506.17462,24506.38527,302.3666858
154,0.017396201,24506.17446,24506.38527,305.1825481
155,0.017053475,24506.1743,24506.38527,299.1701001
156,0.016794233,24506.17415,24506.38527,294.6221995
157,0.017046898,24506.174,24506.38527,299.0547216
158,0.017391696,24506.17384,24506.38527,305.103531
159,0.017240367,24506.17369,24506.38527,302.4487541
160,0.016855339,24506.17355,24506.38527,295.6941796
161,0.016882732,24506.1734,24506.38527,296.1747383
162,0.01727594,24506.17325,24506.38527,303.0728058
163,0.017372517,24506.17311,24506.38527,304.767062
164,0.017007159,24506.17297,24506.38527,298.3575688
165,0.016802785,24506.17283,24506.38527,294.7722222
166,0.017096218,24506.17269,24506.38527,299.9199379
167,0.017398953,24506.17255,24506.38527,305.2308374
168,0.01719322,24506.17242,24506.38527,301.6216498
169,0.016834321,24506.17228,24506.38527,295.3254656
170,0.016922209,24506.17215,24506.38527,296.8672869
171,0.01731068,24506.17202,24506.38527,303.6822538
172,0.017343001,24506.17189,24506.38527,304.2492691
173,0.016964633,24506.17176,24506.38527,297.6115416
174,0.016818067,24506.17163,24506.38527,295.0403098
175,0.017144213,24506.17151,24506.38527,300.7619128
176,0.017398659,24506.17138,24506.38527,305.225676
177,0.017145372,24506.17126,24506.38527,300.7822539
178,0.01682024,24506.17114,24506.38527,295.0784446
179,0.016964847,24506.17102,24506.38527,297.6152973
180,0.017339292,24506.1709,24506.38527,304.1841952
181,0.017308435,24506.17078,24506.38527,303.6428649
182,0.016926656,24506.17066,24506.38527,296.9453067
183,0.016839643,24506.17054,24506.38527,295.4188289
184,0.017189905,24506.17043,24506.38527,301.563488
185,0.017390986,24506.17031,24506.38527,305.091072
186,0.017097847,24506.1702,24506.38527,299.9485196
187,0.016813225,24506.17009,24506.38527,294.9553813
188,0.017009716,24506.16998,24506.38527,298.4024311
189,0.017361259,24506.16987,24506.38527,304.569562
190,0.017269692,24506.16976,24506.38527,302.9631991
191,0.016893905,24506.16965,24506.38527,296.3707512
192,0.016866962,24506.16955,24506.38527,295.8980832
193,0.017232335,24506.16944,24506.38527,302.3078538
194,0.017376258,24506.16934,24506.38527,304.8326895
195,0.017051661,24506.16924,24506.38527,299.1382635
196,0.016813284,24506.16913,24506.38527,294.9564074
197,0.017055822,24506.16903,24506.38527,299.211272
198,0.017376197,24506.16893,24506.38527,304.8316187
199,0.017227735,24506.16883,24506.38527,302.227143
200,0.016866964,24506.16873,24506.38527,295.8981157
201,0.016899357,24506.16864,24506.38527,296.4663972
202,0.0172706,24506.16854,24506.38527,302.9791363
203,0.017354953,24506.16844,24506.38527,304.4589435
204,0.017007799,24506.16835,24506.38527,298.3688059
205,0.016820294,24506.16825,24506.38527,295.0793861
206,0.017102133,24506.16816,24506.38527,300.0237095
207,0.017383877,24506.16807,24506.38527,304.9663543
208,0.017183591,24506.16798,24506.38527,301.452731
209,0.016846304,24506.16788,24506.38527,295.5356863
210,0.016936058,24506.1678,24506.38527,297.110235
211,0.017303876,24506.16771,24506.38527,303.5629021
212,0.017327701,24506.16762,24506.38527,303.9808525
213,0.016967197,24506.16753,24506.38527,297.6565185
214,0.016833999,24506.16744,24506.38527,295.3198175
215,0.0171476,24506.16736,24506.38527,300.8213379
216,0.017384237,24506.16727,24506.38527,304.9726705
217,0.017138328,24506.16719,24506.38527,300.6586724
218,0.016832273,24506.1671,24506.38527,295.2895302
219,0.016976196,24506.16702,24506.38527,297.8143906
220,0.017331447,24506.16694,24506.38527,304.0465787
221,0.017295259,24506.16685,24506.38527,303.4117324
222,0.016930709,24506.16677,24506.38527,297.0164083
223,0.016854008,24506.16669,24506.38527,295.6708321
224,0.017191181,24506.16661,24506.38527,301.585874
225,0.017377383,24506.16653,24506.38527,304.8524331
226,0.017093021,24506.16645,24506.38527,299.8638606
227,0.016825079,24506.16638,24506.38527,295.1633252
228,0.017018826,24506.1663,24506.38527,298.5622442
229,0.017352723,24506.16622,24506.38527,304.4198116
230,0.017258498,24506.16615,24506.38527,302.766831
231,0.016899094,24506.16607,24506.38527,296.4617859
232,0.016879797,24506.166,24506.38527,296.1232601
233,0.017231864,24506.16592,24506.38527,302.2995903
234,0.017363589,24506.16585,24506.38527,304.6104416
235,0.017048734,24506.16578,24506.38527,299.0869284
236,0.01682479,24506.1657,24506.38527,295.1582611
237,0.017062936,24506.16563,24506.38527,299.336071
238,0.017367256,24506.16556,24506.38527,304.6747789
239,0.017218375,24506.16549,24506.38527,302.0629483
240,0.016873,24506.16542,24506.38527,296.0040035
241,0.016910721,24506.16535,24506.38527,296.6657535
242,0.017268698,24506.16528,24506.38527,302.9457664
243,0.01734329,24506.16521,24506.38527,304.2543415
244,0.017006491,24506.16514,24506.38527,298.3458511
245,0.01683133,24506.16508,24506.38527,295.2729916
246,0.017107474,24506.16501,24506.38527,300.1174024
247,0.017374763,24506.16494,24506.38527,304.8064659
248,0.017175914,24506.16488,24506.38527,301.3180465
249,0.016852948,24506.16481,24506.38527,295.6522414
250,0.016946018,24506.16475,24506.38527,297.2849623
251,0.017300813,24506.16468,24506.38527,303.5091557
252,0.017317077,24506.16462,24506.38527,303.7944737
253,0.016967258,24506.16455,24506.38527,297.6575767
254,0.016844477,24506.16449,24506.38527,295.5036284
255,0.017151368,24506.16443,24506.38527,300.8874415
256,0.017375128,24506.16437,24506.38527,304.8128767
257,0.017132181,24506.1643,24506.38527,300.5508338
258,0.016839329,24506.16424,24506.38527,295.4133267
259,0.016984825,24506.16418,24506.38527,297.9657654
260,0.017327449,24506.16412,24506.38527,303.9764409
261,0.017285677,24506.16406,24506.38527,303.2436352
262,0.016931921,24506.164,24506.38527,297.0376693
263,0.016863866,24506.16394,24506.38527,295.8437759
264,0.017193554,24506.16388,24506.38527,301.627517
265,0.017368417,24506.16383,24506.38527,304.6951457
266,0.017088259,24506.16377,24506.38527,299.7803124
267,0.01683239,24506.16371,24506.38527,295.2915845
268,0.017026197,24506.16365,24506.38527,298.6915574
269,0.017347982,24506.1636,24506.38527,304.3366411
270,0.017249943,24506.16354,24506.38527,302.6167428
271,0.016901271,24506.16348,24506.38527,296.4999739
272,0.016888995,24506.16343,24506.38527,296.2846171
273,0.017233002,24506.16337,24506.38527,302.3195553
274,0.017354873,24506.16332,24506.38527,304.4575309
275,0.017045222,24506.16326,24506.38527,299.025311
276,0.016832227,24506.16321,24506.38527,295.2887358
277,0.017069122,24506.16316,24506.38527,299.4445882
278,0.017361936,24506.1631,24506.38527,304.581447
279,0.017210821,24506.16305,24506.38527,301.9304218
280,0.016875982,24506.163,24506.38527,296.0563241
281,0.016919232,24506.16295,24506.38527,296.8150573
282,0.017268743,24506.16289,24506.38527,302.9465541
283,0.017334908,24506.16284,24506.38527,304.1072975
284,0.017004107,24506.16279,24506.38527,298.3040335
285,0.016838789,24506.16274,24506.38527,295.403852
286,0.017112544,24506.16269,24506.38527,300.2063505
287,0.017369006,24506.16264,24506.38527,304.7054748
288,0.01716933,24506.16259,24506.38527,301.2025515
289,0.0168566,24506.16254,24506.38527,295.7163042
290,0.016953825,24506.16249,24506.38527,297.4219249
291,0.017299894,24506.16244,24506.38527,303.4930434
292,0.017309098,24506.16239,24506.38527,303.6545055
293,0.016965893,24506.16234,24506.38527,297.6336417
294,0.016851872,24506.1623,24506.38527,295.6333628
295,0.017155391,24506.16225,24506.38527,300.9580053
296,0.017369061,24506.1622,24506.38527,304.7064318
297,0.017126535,24506.16215,24506.38527,300.4517911
298,0.016843533,24506.16211,24506.38527,295.4870659
299,0.01699192,24506.16206,24506.38527,298.090224
300,0.017325686,24506.16202,24506.38527,303.9455155
301,0.017278158,24506.16197,24506.38527,303.1117182
302,0.016931477,24506.16192,24506.38527,297.0298816
303,0.016871125,24506.16188,24506.38527,295.9711161
304,0.017196594,24506.16183,24506.38527,301.6808328
305,0.017362149,24506.16179,24506.38527,304.585189
306,0.017083516,24506.16174,24506.38527,299.6971042
307,0.016837042,24506.1617,24506.38527,295.3731973
308,0.017032574,24506.16166,24506.38527,298.8034358
309,0.017345483,24506.16161,24506.38527,304.2928105
310,0.017242926,24506.16157,24506.38527,302.4936444
311,0.016901658,24506.16153,24506.38527,296.5067561
312,0.016896056,24506.16148,24506.38527,296.4084836
313,0.01723512,24506.16144,24506.38527,302.3567009
314,0.017348501,24506.1614,24506.38527,304.3457599
315,0.017041345,24506.16136,24506.38527,298.9572941
316,0.016837238,24506.16132,24506.38527,295.3766382
317,0.017074781,24506.16127,24506.38527,299.5438647
318,0.017358801,24506.16123,24506.38527,304.5264458
319,0.01720434,24506.16119,24506.38527,301.8167301
320,0.016877117,24506.16115,24506.38527,296.0762441
321,0.016926041,24506.16111,24506.38527,296.9345148
322,0.017269996,24506.16107,24506.38527,302.9685378
323,0.017328518,24506.16103,24506.38527,303.9951883
324,0.017001059,24506.16099,24506.38527,298.2505606
325,0.016844079,24506.16095,24506.38527,295.4966411
326,0.017117485,24506.16091,24506.38527,300.2930289
327,0.017365324,24506.16087,24506.38527,304.6408743
328,0.017163411,24506.16083,24506.38527,301.0987136
329,0.01685841,24506.16079,24506.38527,295.7480655
330,0.016960335,24506.16076,24506.38527,297.5361403
331,0.017300336,24506.16072,24506.38527,303.5007989
332,0.017302762,24506.16068,24506.38527,303.5433488
333,0.016963638,24506.16064,24506.38527,297.5940851
334,0.016857368,24506.16061,24506.38527,295.7297795
335,0.017159614,24506.16057,24506.38527,301.0320911
336,0.017364913,24506.16053,24506.38527,304.6336633
337,0.017121198,24506.16049,24506.38527,300.3581575
338,0.016845951,24506.16046,24506.38527,295.5294934
339,0.016998087,24506.16042,24506.38527,298.1984267
340,0.017325367,24506.16038,24506.38527,303.9399093
341,0.017271941,24506.16035,24506.38527,303.0026642
342,0.016929982,24506.16031,24506.38527,297.0036507
343,0.016876762,24506.16028,24506.38527,296.0700022
344,0.017200099,24506.16024,24506.38527,301.742321
345,0.017357612,24506.16021,24506.38527,304.5055797
346,0.017078777,24506.16017,24506.38527,299.6139684
347,0.016840007,24506.16014,24506.38527,295.4252119
348,0.017038357,24506.1601,24506.38527,298.9048849
349,0.017344449,24506.16007,24506.38527,304.2746649
350,0.01723689,24506.16003,24506.38527,302.3877499
351,0.016900891,24506.16,24506.38527,296.4933006
352,0.016901771,24506.15996,24506.38527,296.5087405
353,0.017237906,24506.15993,24506.38527,302.4055787
354,0.017343646,24506.1599,24506.38527,304.2605758
355,0.017037219,24506.15986,24506.38527,298.8849207
356,0.016840692,24506.15983,24506.38527,295.437224
357,0.017080137,24506.1598,24506.38527,299.6378287
358,0.017357098,24506.15976,24506.38527,304.4965717
359,0.017198541,24506.15973,24506.38527,301.7149965
360,0.016877049,24506.1597,24506.38527,296.0750437
361,0.016931773,24506.15967,24506.38527,297.0350668
362,0.017272063,24506.15963,24506.38527,303.0048015
363,0.017323415,24506.1596,24506.38527,303.9056735
364,0.016997561,24506.15957,24506.38527,298.1891965
365,0.016847964,24506.15954,24506.38527,295.5648099
366,0.017122373,24506.15951,24506.38527,300.3787793
367,0.017363,24506.15948,24506.38527,304.6001076
368,0.017157905,24506.15944,24506.38527,301.0021107
369,0.016859011,24506.15941,24506.38527,295.7586084
370,0.016966022,24506.15938,24506.38527,297.6359084
371,0.017301686,24506.15935,24506.38527,303.5244797
372,0.017297484,24506.15932,24506.38527,303.450753
373,0.016960781,24506.15929,24506.38527,297.5439555
374,0.016861629,24506.15926,24506.38527,295.8045369
375,0.017163992,24506.15923,24506.38527,301.1089089
376,0.017362019,24506.1592,24506.38527,304.5828949
377,0.017116037,24506.15917,24506.38527,300.2676294
378,0.016847191,24506.15914,24506.38527,295.55125
379,0.017003667,24506.15911,24506.38527,298.2963137
380,0.017326005,24506.15908,24506.38527,303.9511011
381,0.01726656,24506.15905,24506.38527,302.9082557
382,0.016927776,24506.15902,24506.38527,296.9649447
383,0.01688134,24506.15899,24506.38527,296.1503217
384,0.017203929,24506.15897,24506.38527,301.8095113
385,0.017354203,24506.15894,24506.38527,304.4457759
386,0.017074015,24506.15891,24506.38527,299.5304288
387,0.016841854,24506.15888,24506.38527,295.4576099
388,0.017043766,24506.15885,24506.38527,298.9997713
389,0.017344385,24506.15882,24506.38527,304.2735494
390,0.017231478,24506.1588,24506.38527,302.2928159
391,0.016899343,24506.15877,24506.38527,296.4661541
392,0.016906605,24506.15874,24506.38527,296.5935454
393,0.01724115,24506.15871,24506.38527,302.4624904
394,0.017339782,24506.15869,24506.38527,304.1927877
395,0.017032905,24506.15866,24506.38527,298.8092406
396,0.016843109,24506.15863,24506.38527,295.4796276
397,0.01708531,24506.1586,24506.38527,299.7285771
398,0.017356349,24506.15858,24506.38527,304.4834388
399,0.017193174,24506.15855,24506.38527,301.6208361
400,0.016876164,24506.15852,24506.38527,296.0595217
401,0.016936798,24506.1585,24506.38527,297.1232202
402,0.017274688,24506.15847,24506.38527,303.0508492
403,0.017319161,24506.15844,24506.38527,303.8310394
404,0.016993742,24506.15842,24506.38527,298.1221907
405,0.016850911,24506.15839,24506.38527,295.6165035
406,0.017127245,24506.15837,24506.38527,300.4642449
407,0.01736159,24506.15834,24506.38527,304.575371
408,0.017152655,24506.15832,24506.38527,300.9100229
409,0.016858788,24506.15829,24506.38527,295.754691
410,0.01697117,24506.15826,24506.38527,297.726209
411,0.017303663,24506.15824,24506.38527,303.5591654
412,0.017292909,24506.15821,24506.38527,303.3704945
413,0.016957498,24506.15819,24506.38527,297.4863693
414,0.01686506,24506.15816,24506.38527,295.8647134
415,0.017168498,24506.15814,24506.38527,301.1879545
416,0.017359978,24506.15811,24506.38527,304.547103
417,0.01711098,24506.15809,24506.38527,300.178901
418,0.016847623,24506.15807,24506.38527,295.558819
419,0.017008865,24506.15804,24506.38527,298.3874974
420,0.017327312,24506.15802,24506.38527,303.9740361
421,0.017261738,24506.15799,24506.38527,302.8236713
422,0.016925068,24506.15797,24506.38527,296.9174416
423,0.016885202,24506.15795,24506.38527,296.2180737
424,0.017208005,24506.15792,24506.38527,301.8810256
425,0.017351572,24506.1579,24506.38527,304.3996198
426,0.017069221,24506.15787,24506.38527,299.4463207
427,0.016842927,24506.15785,24506.38527,295.4764372
428,0.017048939,24506.15783,24506.38527,299.0905155
429,0.017345008,24506.1578,24506.38527,304.2844756
430,0.017226488,24506.15778,24506.38527,302.2052714
431,0.016897243,24506.15776,24506.38527,296.4293033
432,0.016910841,24506.15774,24506.38527,296.6678577
433,0.017244737,24506.15771,24506.38527,302.5254094
434,0.017336608,24506.15769,24506.38527,304.1371051
435,0.017028444,24506.15767,24506.38527,298.7309743
436,0.016844804,24506.15764,24506.38527,295.5093628
437,0.017090379,24506.15762,24506.38527,299.8175097
438,0.017356282,24506.1576,24506.38527,304.4822485
439,0.017188096,24506.15758,24506.38527,301.5317529
440,0.016874697,24506.15756,24506.38527,296.0337853
441,0.016941344,24506.15753,24506.38527,297.2029654
442,0.017277728,24506.15751,24506.38527,303.1041804
443,0.0173155,24506.15749,24506.38527,303.7668158
444,0.01698968,24506.15747,24506.38527,298.0509333
445,0.0168532,24506.15745,24506.38527,295.6566626
446,0.017132131,24506.15742,24506.38527,300.5499586
447,0.017360835,24506.1574,24506.38527,304.5621259
448,0.017147573,24506.15738,24506.38527,300.8208644
449,0.016857974,24506.15736,24506.38527,295.740409
450,0.016975954,24506.15734,24506.38527,297.810146
451,0.017306106,24506.15732,24506.38527,303.6020153
452,0.017288825,24506.1573,24506.38527,303.2988608
453,0.016953898,24506.15728,24506.38527,297.4232174
454,0.016867907,24506.15726,24506.38527,295.914667
455,0.01717312,24506.15723,24506.38527,301.2690252
456,0.017358551,24506.15721,24506.38527,304.5220519
457,0.017105978,24506.15719,24506.38527,300.0911561
458,0.016847473,24506.15717,24506.38527,295.5561945
459,0.017013811,24506.15715,24506.38527,298.4742739
460,0.017329114,24506.15713,24506.38527,304.0056399
